size,cutoff,max_neighborlist_size,rdkit_time_ms,rdkit_std_ms,nvmol_time_ms,nvmol_std_ms
5000,0.1,8,58.653856,0.0,1.729748,0.0
5000,0.1,16,58.653856,0.0,0.471511,0.0
5000,0.1,32,58.653856,0.0,0.443981,0.0
5000,0.1,64,58.653856,0.0,0.435807,0.0
5000,0.1,128,58.653856,0.0,0.414414,0.0
5000,0.2,8,91.180573,0.0,0.684658,0.0
5000,0.2,16,91.180573,0.0,0.511077,0.0
5000,0.2,32,91.180573,0.0,0.465381,0.0
5000,0.2,64,91.180573,0.0,0.46087,0.0
5000,0.2,128,91.180573,0.0,0.481615,0.0
5000,0.35,8,120.062621,0.0,1.476395,0.0
5000,0.35,16,120.062621,0.0,0.832938,0.0
5000,0.35,32,120.062621,0.0,0.692339,0.0
5000,0.35,64,120.062621,0.0,0.692475,0.0
5000,0.35,128,120.062621,0.0,0.72562,0.0
10000,0.1,8,238.444208,0.0,1.631932,0.0
10000,0.1,16,238.444208,0.0,1.209388,0.0
10000,0.1,32,238.444208,0.0,1.197721,0.0
10000,0.1,64,238.444208,0.0,1.20668,0.0
10000,0.1,128,238.444208,0.0,1.198558,0.0
10000,0.2,8,409.294464,0.0,2.993639,0.0
10000,0.2,16,409.294464,0.0,1.751704,0.0
10000,0.2,32,409.294464,0.0,1.376494,0.0
10000,0.2,64,409.294464,0.0,1.436797,0.0
10000,0.2,128,409.294464,0.0,1.424686,0.0
10000,0.35,8,529.809067,0.0,9.969896,0.0
10000,0.35,16,529.809067,0.0,3.893383,0.0
10000,0.35,32,529.809067,0.0,1.939437,0.0
10000,0.35,64,529.809067,0.0,1.823886,0.0
10000,0.35,128,529.809067,0.0,1.89394,0.0
20000,0.1,8,1029.169668,0.0,4.762618,0.0
20000,0.1,16,1029.169668,0.0,3.607209,0.0
20000,0.1,32,1029.169668,0.0,3.705767,0.0
20000,0.1,64,1029.169668,0.0,3.714243,0.0
20000,0.1,128,1029.169668,0.0,3.707117,0.0
20000,0.2,8,1858.701554,0.0,11.272315,0.0
20000,0.2,16,1858.701554,0.0,4.944497,0.0
20000,0.2,32,1858.701554,0.0,4.094062,0.0
20000,0.2,64,1858.701554,0.0,4.110102,0.0
20000,0.2,128,1858.701554,0.0,4.179259,0.0
20000,0.35,8,2120.226751,0.0,57.617292,0.0
20000,0.35,16,2120.226751,0.0,18.091325,0.0
20000,0.35,32,2120.226751,0.0,6.11701,0.0
20000,0.35,64,2120.226751,0.0,5.28638,0.0
20000,0.35,128,2120.226751,0.0,5.16472,0.0
30000,0.1,8,2460.051985,0.0,12.237122,0.0
30000,0.1,16,2460.051985,0.0,7.89664,0.0
30000,0.1,32,2460.051985,0.0,7.890694,0.0
30000,0.1,64,2460.051985,0.0,7.939278,0.0
30000,0.1,128,2460.051985,0.0,7.949218,0.0
30000,0.2,8,4735.365505,0.0,32.86332,0.0
30000,0.2,16,4735.365505,0.0,11.933138,0.0
30000,0.2,32,4735.365505,0.0,8.454846,0.0
30000,0.2,64,4735.365505,0.0,8.492784,0.0
30000,0.2,128,4735.365505,0.0,8.650066,0.0
30000,0.35,8,5703.841578,0.0,175.232097,0.0
30000,0.35,16,5703.841578,0.0,52.661644,0.0
30000,0.35,32,5703.841578,0.0,14.532724,0.0
30000,0.35,64,5703.841578,0.0,10.775714,0.0
30000,0.35,128,5703.841578,0.0,11.111728,0.0
40000,0.1,8,5084.060776,0.0,21.322973,0.0
40000,0.1,16,5084.060776,0.0,14.477185,0.0
40000,0.1,32,5084.060776,0.0,13.831616,0.0
40000,0.1,64,5084.060776,0.0,13.891017,0.0
40000,0.1,128,5084.060776,0.0,13.921625,0.0
40000,0.2,8,10093.494313,0.0,71.627514,0.0
40000,0.2,16,10093.494313,0.0,24.180203,0.0
40000,0.2,32,10093.494313,0.0,14.672783,0.0
40000,0.2,64,10093.494313,0.0,14.754306,0.0
40000,0.2,128,10093.494313,0.0,14.781192,0.0
40000,0.35,8,11170.623877,0.0,412.15715,0.0
40000,0.35,16,11170.623877,0.0,123.622336,0.0
40000,0.35,32,11170.623877,0.0,28.71767,0.0
40000,0.35,64,11170.623877,0.0,18.347534,0.0
40000,0.35,128,11170.623877,0.0,18.20993,0.0
50000,0.1,8,7682.247597,0.0,37.305165,0.0
50000,0.1,16,7682.247597,0.0,22.339761,0.0
50000,0.1,32,7682.247597,0.0,21.284028,0.0
50000,0.1,64,7682.247597,0.0,21.399379,0.0
50000,0.1,128,7682.247597,0.0,22.265864,0.0
50000,0.2,8,16159.227216,0.0,132.96413,0.0
50000,0.2,16,16159.227216,0.0,42.566609,0.0
50000,0.2,32,16159.227216,0.0,22.358076,0.0
50000,0.2,64,16159.227216,0.0,22.439565,0.0
50000,0.2,128,16159.227216,0.0,22.682458,0.0
50000,0.35,8,17533.217012,0.0,821.14913,0.0
50000,0.35,16,17533.217012,0.0,256.090548,0.0
50000,0.35,32,17533.217012,0.0,54.363017,0.0
50000,0.35,64,17533.217012,0.0,28.501017,0.0
50000,0.35,128,17533.217012,0.0,26.810162,0.0
