size,cutoff,speedup,best_neighborlist_size
5000,0.1,180.40399197110597,32
5000,0.2,239.94056466735336,64
5000,0.35,169.97442175007276,64
10000,0.1,219.82652417423145,32
10000,0.2,300.74463452589015,32
10000,0.35,278.02516108091754,64
20000,0.1,286.82787659551235,16
20000,0.2,442.6265744674476,64
20000,0.35,368.1639095302883,64
30000,0.1,311.6512941240666,32
30000,0.2,529.2452067965961,32
30000,0.35,459.41917480409677,64
40000,0.1,360.7923829948746,32
40000,0.2,649.4405313088137,32
40000,0.35,548.811313363463,128
50000,0.1,360.2458547444388,32
50000,0.2,684.9908455430327,32
50000,0.35,631.9664736663769,128
